rating,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15
AAA,0.00,0.03,0.13,0.23,0.34,0.44,0.49,0.57,0.62,0.67,0.70,0.73,0.75,0.81,0.86
AA+,0.00,0.04,0.04,0.09,0.13,0.18,0.23,0.27,0.32,0.37,0.43,0.48,0.53,0.59,0.65
AA,0.02,0.03,0.08,0.20,0.33,0.44,0.56,0.66,0.74,0.83,0.90,0.95,1.04,1.09,1.14
AA-,0.02,0.07,0.15,0.21,0.27,0.36,0.42,0.47,0.53,0.59,0.64,0.68,0.70,0.73,0.77
A+,0.04,0.07,0.16,0.27,0.35,0.43,0.52,0.61,0.72,0.83,0.93,1.04,1.16,1.30,1.42
A,0.05,0.12,0.19,0.28,0.39,0.53,0.68,0.81,0.96,1.13,1.27,1.37,1.47,1.53,1.66
A-,0.05,0.14,0.22,0.30,0.42,0.55,0.73,0.87,0.97,1.07,1.16,1.27,1.37,1.47,1.55
BBB+,0.09,0.23,0.41,0.59,0.79,1.01,1.18,1.37,1.60,1.83,2.04,2.19,2.36,2.55,2.75
BBB,0.13,0.33,0.51,0.80,1.09,1.38,1.68,1.95,2.24,2.50,2.77,2.99,3.20,3.32,3.51
BBB-,0.21,0.63,1.17,1.76,2.40,2.93,3.39,3.83,4.17,4.50,4.84,5.15,5.42,5.81,6.13
BB+,0.27,0.83,1.50,2.21,2.90,3.58,4.16,4.55,5.00,5.51,5.87,6.29,6.69,7.01,7.45
BB,0.44,1.38,2.67,3.84,5.05,6.06,6.96,7.78,8.59,9.33,10.08,10.66,11.12,11.42,11.74
BB-,0.87,2.71,4.62,6.57,8.28,9.92,11.31,12.67,13.75,14.67,15.36,16.07,16.71,17.29,17.85
B+,1.83,4.97,8.05,10.72,12.88,14.57,16.11,17.41,18.57,19.62,20.52,21.14,21.83,22.50,23.14
B,2.69,6.36,9.68,12.44,14.69,16.70,18.10,19.16,20.13,21.04,21.64,22.25,22.72,23.09,23.52
B-,5.16,11.20,15.94,19.35,22.03,23.91,25.28,26.36,27.19,27.90,28.87,29.50,30.02,30.55,30.99
CCC/C,26.12,35.92,41.32,44.35,46.53,47.57,48.61,49.29,49.89,50.43,50.85,51.32,51.86,52.26,52.30
