deal_id,as_of_date,object_type,object_id,metric,value,unit,bloomberg_function,bloomberg_field,notes
ARES_2023_68A,,collateral,ARES_2023_68A,collateral_par,492060794.12,USD,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,
ARES_2023_68A,,collateral,ARES_2023_68A,loan_count,415,count,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,
ARES_2023_68A,,collateral,ARES_2023_68A,weighted_avg_price_priced_only,95.0737,price,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,409/415 priced; excludes 6 unpriced rows
ARES_2023_68A,,collateral,ARES_2023_68A,weighted_avg_spread_floating,3.0106,percent,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,matches TRIG WAS 3% to rounding
ARES_2023_68A,,collateral,ARES_2023_68A,weighted_avg_maturity_provisional,4.5782,years,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,uses PROVISIONAL as-of 2026-05-31
ARES_2023_68A,,collateral,ARES_2023_68A,fixed_rate_share,2.7,percent,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,TRIG panel shows 2.7%
ARES_2023_68A,,collateral,ARES_2023_68A,non_us_share,3.9,percent,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,TRIG panel shows 3.9%
ARES_2023_68A,,collateral,ARES_2023_68A,weighted_avg_sp_recovery,38.73,percent,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,TRIG panel shows 38.74% (WARR test vs 37.25 covenant)
ARES_2023_68A,,collateral,ARES_2023_68A,defaulted_share,0.55,percent,derived from lld_ares_2023.xlsx (Bloomberg collateral export),,single defaulted obligor (LABL)
ARES_2023_68A,,deal,ARES_2023_68A,diversity_score,79,score,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,
ARES_2023_68A,,deal,ARES_2023_68A,warf,2761,factor,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,
ARES_2023_68A,,deal,ARES_2023_68A,sp_ccc_bucket,6.9,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,tape-computed CCC+/below = 7.56%; delta is definitional (defaulted exclusion etc.)
ARES_2023_68A,,deal,ARES_2023_68A,wal_vs_covenant,4.54 vs 8.25,years,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,"WAL test, starts 08/2029"
ARES_2023_68A,,tranche,Class AB,oc_ratio,131.25,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,trigger 121.6
ARES_2023_68A,,tranche,Class AB,ic_ratio,150.11,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,trigger 120.0
ARES_2023_68A,,tranche,Class C,oc_ratio,121.65,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,trigger 114.0
ARES_2023_68A,,tranche,Class C,ic_ratio,137.98,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,trigger 115.0
ARES_2023_68A,,tranche,Class D,oc_ratio,112.08,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,trigger 106.4
ARES_2023_68A,,tranche,Class D,ic_ratio,123.64,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,trigger 110.0
ARES_2023_68A,,tranche,Class E,oc_ratio,108.42,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,trigger 104.2
ARES_2023_68A,,tranche,Class E,ic_ratio,116.39,percent,Bloomberg TRIG panel export (ARES_2023_68A_BR_TRIG),,trigger 105.0
