Groups,Issuer,Current Balance,Equity Holding Shares,Bloomberg FIGI,CUSIP,Security Name,Last Price,Seniority,Lien Priority,Is Covenant Lite,Funded Amount,Payment Frequency,Coupon Type,Day Count,Margin,Coupon,Index Floor Rate,Commitment Fee Rate,Maturity Date,Moody's Issuer Rating,Moody's Reported Rating,Moody's Credit Watch,S&P Issuer Rating,S&P Reported Rating,S&P Credit Watch,Fitch Issuer Rating,Fitch Reported Rating,Moody's Industry Classification,S&P Industry,Fitch Industry,Moody's Recovery Rate,S&P Recovery Rate,Country,Index Spread Adjustment,Aggregate Par Amount Issued,Commitment Amount,Cumulative Capitalized Amount,Currency,Current Par Value,Default Date,Default Status,Expected Maturity Date,Factor,Fitch Country Rating,Fitch Current Rating,Fitch Industry Code,Fitch Recovery Rate,LGD,pd_bucket,pd_rating_source,pd_rating_used,pd_years_to_horizon,PD,price_source
0,"Freeport LNG Investments, LLLP",5740000.0,,BBG01ZQV0VN0,35670CAE8,Term loan,100.313,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,3.25,6.9252,0.0,,02/11/2033,B2,B2,CWNT,B-,B-,CWNT,,B-,Energy: Oil & Gas,"Oil, Gas & Consumable Fuels",Energy (oil & gas),,0.4,US,,2195753257.81,,,USD,5740000.0,,No,,,AAA,B,25,,0.6,B-,issuer,B-,6.706849315068493,0.2487838356164383,reported
0,"Ensono, LP",5236848.52,,BBG010G6FJ45,29359DAB3,Term Loan (5/21),98.534,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,4.0,7.7667,0.75,,05/26/2028,B2,B2,CWNT,B,B,CWNT,,B,High Tech Industries,IT Services,Telecommunications,,0.35,US,,1575013925.41,,,USD,5236848.52,,No,,,AAA,,3,,0.65,B,issuer,B,1.989041095890411,0.063197808219178,reported
0,"Tempo Acquisition, LLC",5033249.64,,BBG01RXH5223,88023HAJ9,Term Loan B (01/25),84.125,SNSE,1.0, ,,12.0,FLT,ACTUAL_360,1.75,5.4022,0.5,,08/31/2028,B2,B2,CWNT,B+,B+,CWNT,,B+,Services: Business,Professional Services,Business Services General,,0.5,US,,7734658499.32,,,USD,5033249.64,,No,,,AAA,,28,,0.5,B+,issuer,B+,2.254794520547945,0.0575476712328767,reported
0,Telenet Financing USD LLC,4936992.2,,BBG00RHH0YS9,B9000TBJ3,Term Loan (1/20),99.375,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,2.0,5.7692,0.0,,04/28/2028,B1,B1,CWNT,BB-,BB-,CWNT,,BB-,Media: Broadcasting & Subscription,Media,Broadcasting & Media,,0.35,US,,3370000000.0,,,USD,4936992.2,,No,,,AAA,BB+,4,,0.65,BB-,issuer,BB-,1.9123287671232876,0.0254868493150684,reported
0,SCIH Salt Holdings Inc.,4508778.25,,BBG01YLHQRL2,78397GAM3,Term Loan,100.25,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,2.75,6.3504,0.75,,01/31/2029,B3,B3,CWNT,B,B,CWNT,,B-,"Chemicals, Plastics & Rubber",Chemicals,Chemicals,,0.28,US,,7031008871.95,,,USD,4508778.25,,No,,,AAA,,9,,0.72,B,issuer,B,2.673972602739726,0.0859758904109589,reported
0,"Proofpoint, Inc.",4403225.52,,BBG01MW7GJL7,74345HAJ0,Term Loan (06/25),96.063,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,3.0,6.6996,0.5,,08/31/2028,B3,B2,CWNT,B-,B-,CWNT,,B,Services: Business,IT Services,Technology Software,,0.35,US,,8274913675.02,,,USD,4403225.52,,No,,,AAA,BB-,2,,0.65,B-,issuer,B-,2.254794520547945,0.1240772602739725,reported
0,Epicor Software Corporation,4211445.79,,BBG01R3ZN805,29426NAZ7,Term Loan F (12/24),96.938,SNSE,1.0, ,,12.0,FLT,ACTUAL_360,2.5,6.1522,0.75,,05/30/2031,B2,B2,CWNT,B-,B-,CWNT,,B-,High Tech Industries,Software,Technology Software,,0.3,US,,7031031111.0,,,USD,4211445.79,,No,,,AAA,,2,,0.7,B-,issuer,B-,5.0,0.2203,reported
0,"RealPage, Inc.",4106106.79,,BBG00Z73BBZ3,75605VAD4,Term Loan (04/21),94.938,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,3.0,6.9612,0.5,,04/24/2028,B3,B3,CWNT,B-,B-,CWNT,,B,Services: Business,Professional Services,Business Services General,,0.35,US,,4641500000.0,,,USD,4106106.79,,No,,,AAA,B+,28,,0.65,B-,issuer,B-,1.9013698630136984,0.1060427397260273,reported
0,"Xplor T1, LLC",4059721.13,,BBG01Y1Z62Q6,98423DAF1,Term Loan,95.688,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,3.5,7.1674,0.0,,12/01/2032,B3,B3,CWNT,B-,B-,CWNT,,B-,Services: Business,Commercial Services & Supplies,Environmental Services,,0.3,US,,2131787500.01,,,USD,4059721.13,,No,,,AAA,,16,,0.7,B-,issuer,B-,6.50958904109589,0.2460813698630137,reported
0,Citadel Securities LP,4025113.87,,BBG01QG35Q59,17288YAN2,Term Loan (10/24),100.0,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,2.0,5.6996,0.0,,10/31/2031,,Baa3,CWNT,BBB-,BBB-,CWNT,,BBB-,"Banking, Finance, Insurance & Real Estate",Capital Markets,Banking & Finance,,0.5,US,,4451000473.6,,,USD,4025113.87,,No,,,AAA,,27,,0.5,BBB-,issuer,BBB-,5.421917808219178,0.0262361643835616,reported
0,"Medline Borrower, LP",3962785.15,,BBG01W91ZLR2,58503UAJ2,Sixth Amendment Term Loan,100.313,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,1.75,5.4022,0.5,,10/23/2030,Ba1,Ba1,CWNT,BB+,BB+,CWNT,,BBB-,Healthcare & Pharmaceuticals,Health Care Equipment & Supplies,Healthcare Devices,,0.55,US,,14848224465.31,,,USD,3962785.15,,No,,,AAA,,21,,0.4499999999999999,BB+,issuer,BB+,4.4,0.02486,reported
0,BELRON FIN 2019 LLC,3802424.43,,BBG01ZJZ8BK8,08078UAQ6,Term Loan B (02/26),100.188,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,2.0,5.6599,0.5,,10/16/2031,Ba3,Ba3,CWNT,BB-,BB-,CWNT,,BB,Automotive,Automobiles,Automobiles,,0.4,US,,4620971997.82,,,USD,3802424.43,,No,,,AAA,BB+,7,,0.6,BB-,issuer,BB-,5.380821917808219,0.0890454794520548,reported
0,Athenahealth Group Inc.,3774464.85,,BBG01RXGR5Y9,04686RAB9,Term Loan B (2/22),100.0,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,2.75,6.4022,0.5,,02/15/2029,B3,B2,CWNT,B-,B-,CWNT,,B-,Healthcare & Pharmaceuticals,Health Care Providers & Services,Business Services Data & Analytics,,0.45,US,,24988500124.64,,,USD,3774464.85,,No,,,AAA,WD,29,,0.55,B-,issuer,B-,2.7150684931506848,0.1458942465753424,reported
0,"Hologic, Inc.",3750000.0,,BBG01Y5RXG34,43644ABL2,Term Loan B (04/26),98.563,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,2.25,5.9239,,,04/07/2033,B1,B1,CWNT,B+,B+,CWNT,,B+,Healthcare & Pharmaceuticals,Health Care Technology,Healthcare Devices,,0.4,US,,13000000000.0,,,USD,3750000.0,,No,,,AAA,,21,,0.6,B+,issuer,B+,6.857534246575343,0.1589060273972602,reported
0,"NRG Energy, Inc.",3736745.61,,BBG01QXYP841,62937NBC0,Term Loan B (03/24),100.188,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,1.75,5.4189,0.0,,04/16/2031,Ba1,Baa3,CWNT,BB,BB,CWNT,,BB+,Utilities: Electric,Electric Utilities,Utilities (Power),,0.7,US,,13237246143.67,,,USD,3736745.61,,No,,,AAA,BBB-,26,,0.3,BB,issuer,BB,4.879452054794521,0.0490413698630137,reported
0,Esdec Solar Group B.V.,3507784.52,,BBG01212RT41,N3066KAM7,Term Loan B,45.625,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,5.0,8.9612,0.75,,08/30/2028,Caa3,Caa3,CWNT,CCC-,CCC-,CWNT,,CCC-,Capital Equipment,"Electronic Equipment, Instruments & Components",Building & Materials,,0.3,US,,302812500.0,,,USD,3507784.52,,No,,,AAA,,8,,0.7,CCC/C,issuer,CCC/C,2.252054794520548,0.3728109589041096,reported
0,Project Castle Inc.,3468359.64,,BBG017K0DGG3,74339YAB8,Term Loan,25.375,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_ACTUAL,5.5,9.1918,0.5,,06/01/2029,Caa2,Caa2,CWNT,CCC-,CCC-,CWNT,,CCC-,Transportation: Cargo,Machinery,Industrial/Manufacturing,,0.24,US,,1419153125.0,,,USD,3468359.64,,No,,,AAA,,10,,0.76,CCC/C,issuer,CCC/C,3.0054794520547947,0.4133660273972603,reported
0,Genmab AS,3344286.5,,BBG01YFW98H2,37231EAB8,Initial Term B Loan (12/25),100.313,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,3.0,6.6996,0.0,,12/13/2032,Ba2,Ba2,CWNT,BB+,BB+,CWNT,,BB,High Tech Industries,Health Care Technology,Pharmaceuticals,,0.4,DE,,5400000000.0,,,USD,3344286.5,,No,,,AAA,BB+,24,,0.6,BB+,issuer,BB+,6.542465753424658,0.038946301369863,reported
0,Cast & Crew LLC,3331635.11,,BBG013V3Q0G5,14835JAQ3,Term Loan (12/21),51.071,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,3.75,7.4134,0.5,,12/29/2028,Caa2,Caa1,CWNT,CCC+,CCC+,CWNT,,CCC,Media: Diversified & Production,Professional Services,Business Services General,,0.35,US,,4010368500.0,,,USD,3331635.11,,No,,,AAA,,28,,0.65,CCC/C,issuer,CCC/C,2.5835616438356164,0.3907123287671233,reported
0,WIN Waste Innovations Holdings Inc.,3323554.71,,BBG00ZL5PCB1,38723BAJ0,Term Loan B,100.313,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,2.75,6.5167,0.5,,03/24/2028,B3,B3,CWNT,B-,B-,CWNT,,B-,Energy: Electricity,Energy Equipment & Services,Utilities (Power),,0.45,US,,1448733502.23,,,USD,3323554.71,,No,,,AAA,,26,,0.55,B-,issuer,B-,1.8164383561643835,0.1009128767123287,reported
0,BCP Renaissance Parent L.L.C.,3222815.23,,BBG01ZRH3Q49,05549PAG6,Term Loan,99.875,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,2.25,5.9496,1.0,,10/31/2031,B2,B2,CWNT,B+,B+,CWNT,,B,Energy: Oil & Gas,"Oil, Gas & Consumable Fuels",Energy (oil & gas),,0.45,US,,4933491320.24,,,USD,3222815.23,,No,,,AAA,,25,,0.55,B+,issuer,B+,5.421917808219178,0.1359304109589041,reported
