date,cdr_pct,default_pct,recovery_pct,severity_pct,wac_pct,wa_margin_pct,ccc_pct,n_loans,balance_000s,defaulted_bal_000s,new_default_flow_000s
2023-05-01,,,40.35,59.65,8.551,3.517,0.35,248.0,500000.0,,
2023-08-01,,0.0,40.38,59.62,8.753,3.489,2.58,281.0,510744.0,0.0,
2023-09-01,0.0,0.0,40.12,59.88,8.812,3.524,3.07,293.0,510096.0,0.0,0.0
2023-10-01,0.0,0.0,40.2,59.8,8.855,3.576,2.69,314.0,515774.0,0.0,0.0
2023-11-01,0.0,0.0,40.17,59.83,8.873,3.591,3.25,320.0,500847.0,0.0,0.0
2023-12-01,0.0,0.0,40.21,59.79,8.89,3.6,3.44,328.0,505559.0,0.0,0.0
2024-01-01,0.0,0.0,40.38,59.62,8.892,3.577,3.52,337.0,508235.0,0.0,0.0
2024-02-01,0.0,0.0,40.22,59.78,8.853,3.564,2.68,345.0,521191.0,0.0,0.0
2024-03-01,0.0,0.0,39.85,60.15,8.877,3.605,2.66,341.0,517438.0,0.0,0.0
2024-04-01,0.0,0.0,39.7,60.3,8.846,3.589,3.78,359.0,514582.0,0.0,0.0
2024-05-01,0.0,0.0,39.69,60.31,8.823,3.584,4.44,361.0,507171.0,0.0,0.0
2024-06-01,0.0,0.0,39.44,60.56,8.784,3.542,4.79,375.0,516553.0,0.0,0.0
2024-07-01,0.0,0.0,39.0,61.0,8.752,3.517,4.91,381.0,522060.0,0.0,0.0
2024-08-01,0.0,0.0,38.99,61.01,8.764,3.544,4.57,381.0,506829.0,0.0,0.0
2024-09-01,0.0,0.0,38.73,61.27,8.702,3.551,6.06,394.0,499550.0,0.0,0.0
2024-10-01,0.12122615633176625,0.01,38.38,61.62,8.256,3.514,5.4,416.0,504935.0,50.493500000000004,50.493500000000004
2024-11-01,0.0007527240070803742,0.01,38.15,61.85,8.051,3.511,5.68,428.0,508102.0,50.8102,0.3166999999999973
2024-12-01,0.0,0.0,38.49,61.51,7.938,3.474,4.75,437.0,515473.0,0.0,0.0
2025-01-01,0.0,0.0,38.46,61.54,7.69,3.409,5.34,435.0,516235.0,0.0,0.0
2025-02-01,0.0,0.0,37.86,62.14,7.561,3.357,5.28,438.0,515319.0,0.0,0.0
2025-03-01,3.5809725389483016,0.31,37.95,62.05,7.519,3.3,4.67,427.0,504393.0,1563.6182999999999,1563.6182999999999
2025-04-01,0.0,0.0,37.37,62.63,7.465,3.264,5.47,424.0,510006.0,0.0,0.0
2025-05-01,0.0,0.0,37.94,62.06,7.456,3.26,5.6,420.0,506153.0,0.0,0.0
2025-06-01,11.494974135717872,1.01,38.13,61.87,7.457,3.261,5.41,427.0,507371.0,5124.447099999999,5124.447099999999
2025-07-01,0.0,0.0,37.89,62.11,7.423,3.254,5.66,430.0,505947.0,0.0,0.0
2025-08-01,0.0,0.0,37.77,62.23,7.384,3.201,5.65,437.0,510250.0,0.0,0.0
2025-09-01,0.0,0.0,38.21,61.79,7.318,3.155,5.15,426.0,493627.0,0.0,0.0
2025-10-01,0.0,0.0,38.45,61.55,7.079,3.077,5.79,439.0,500131.0,0.0,0.0
2025-11-01,0.0,0.0,38.6,61.4,6.908,3.05,5.93,445.0,506607.0,0.0,0.0
2025-12-01,0.0,0.0,38.63,61.37,6.837,3.044,5.8,433.0,504682.0,0.0,0.0
2026-01-01,0.0,0.0,38.2,61.8,6.635,3.032,7.09,425.0,484705.0,0.0,0.0
2026-02-01,9.01462903544752,0.75,38.23,61.77,6.558,2.996,6.66,440.0,506789.0,3800.9175,3800.9175
2026-03-01,0.006362350893884816,0.77,38.48,61.52,6.557,2.974,6.72,427.0,493972.0,3803.5844,2.666900000000169
2026-04-01,0.0,0.55,38.66,61.34,6.613,3.009,6.88,416.0,488841.0,2688.6255,0.0
2026-05-01,0.043705931724657976,0.55,38.72,61.28,6.608,3.011,6.93,415.0,492061.0,2706.3355,17.710000000000036
