loan_id,loan_identifier,sector,rating,current_balance,weight,annual_pd,annual_cpr,lgd,coupon_spread_bps,reference_rate,coupon_floor,maturity_years,discount_margin_bps,market_price,model_price,price_gap,expected_loss_pct,source_family
L001,Synthetic Bloomberg-Compatible Loan 001,Telecom,B-,6.1107299118835465,0.0018812736294990299,0.01,0.0322342177518286,0.505886213282428,598.0689113110718,0.0525,0.01,4.0,679.7497353878849,99.73558403430722,99.78617328944992,0.05058925514269674,0.505886213282428,synthetic_bloomberg_compatible
L002,Synthetic Bloomberg-Compatible Loan 002,Telecom,BB,6.860151816947501,0.002111993639660823,0.01911334335375101,0.03834499789499795,0.486480496687417,346.4083490512263,0.0525,0.01,7.0,538.8551729710931,93.99509611972421,94.42685959480545,0.43176347508124024,0.9298268768089931,synthetic_bloomberg_compatible
L003,Synthetic Bloomberg-Compatible Loan 003,Healthcare,B-,9.258165454225603,0.002850255661390367,0.056370764467376634,0.041849485552886326,0.41979936758450154,576.825771987205,0.0525,0.01,5.0,716.0201905306152,94.33774983030149,92.21334925563356,-2.1244005746679306,2.36644112736596,synthetic_bloomberg_compatible
L004,Synthetic Bloomberg-Compatible Loan 004,Industrials,BB,5.05108050356113,0.0015550457455739907,0.024121068856736105,0.04079088396396192,0.4032298953415315,345.19931901332325,0.0525,0.01,7.0,419.1422129074429,98.85201323733907,98.36779403766577,-0.48421919967329075,0.9726336070627574,synthetic_bloomberg_compatible
L005,Synthetic Bloomberg-Compatible Loan 005,Telecom,CCC+,9.489203558747155,0.002921383971709005,0.03745430861594941,0.02,0.4777737270171294,809.050697700967,0.0525,0.01,5.0,1043.630792774817,91.90524142059765,91.11115796172304,-0.79408345887461,1.789468462029193,synthetic_bloomberg_compatible
L006,Synthetic Bloomberg-Compatible Loan 006,Software,BB,18.750031802199008,0.005772459409987647,0.017276699736360368,0.08931500324044098,0.5853501569676012,389.7641207156528,0.0525,0.01,7.0,448.6268757950836,97.14924556543471,98.86140668553122,1.7121611200965106,1.0112918902560655,synthetic_bloomberg_compatible
L007,Synthetic Bloomberg-Compatible Loan 007,Industrials,B,7.880866352515017,0.0024262348787107138,0.03291690822761378,0.03407061713638749,0.4487687073070007,505.37094869664685,0.0525,0.01,7.0,499.40771000921916,98.91365964005192,99.4218086079212,0.5081489678692748,1.477207835384941,synthetic_bloomberg_compatible
L008,Synthetic Bloomberg-Compatible Loan 008,Software,B,9.95948022527103,0.0030661652178216106,0.0245342635332716,0.035664559839071526,0.45704298047916375,547.6472720241022,0.0525,0.01,4.0,471.81300178274387,99.01379592063546,102.66115035706744,3.647354436431982,1.1213212929107712,synthetic_bloomberg_compatible
L009,Synthetic Bloomberg-Compatible Loan 009,Software,B,11.913660484376676,0.0036677869294265753,0.02322660029379732,0.04812636007191244,0.37926681840387305,508.28610664711465,0.0525,0.01,3.0,527.1872382303894,101.95799431604908,100.4243383609568,-1.5336559550922857,0.8809078795766973,synthetic_bloomberg_compatible
L010,Synthetic Bloomberg-Compatible Loan 010,Software,B,8.120314725321236,0.002499952407693752,0.02018979789319214,0.05833064098199708,0.552403174885348,505.13602936987564,0.0525,0.01,6.0,587.4496224536769,97.29704087837582,97.72290640693431,0.42586552855848936,1.115290845649285,synthetic_bloomberg_compatible
L011,Synthetic Bloomberg-Compatible Loan 011,Telecom,BB,7.049088848065745,0.0021701605459721884,0.025656063571399462,0.02025481824263359,0.4607412195462418,418.903638573213,0.0525,0.01,7.0,504.01912148810845,98.73531927049017,97.19839848230592,-1.536920788184247,1.1820806018642498,synthetic_bloomberg_compatible
