year,sector,cohort_size,annual_pd,defaults,default_rate
2013,Software,193,0.01,2,0.010362694300518135
2013,Retail,137,0.017288435374475383,1,0.0072992700729927005
2013,Healthcare,187,0.01397089945997692,2,0.0106951871657754
2013,Energy,118,0.023726418733297748,0,0.0
2013,Telecom,169,0.018669976300311808,1,0.005917159763313609
2013,Services,191,0.01429843354462076,0,0.0
2013,Industrials,154,0.018256848455172826,2,0.012987012987012988
2013,Transport,156,0.015035094774751337,2,0.01282051282051282
2014,Software,214,0.010778836684617302,1,0.004672897196261682
2014,Retail,117,0.01778241472012287,0,0.0
2014,Healthcare,133,0.01394769526175639,1,0.007518796992481203
2014,Energy,171,0.023196944288207913,2,0.011695906432748537
2014,Telecom,215,0.017883251713144838,1,0.004651162790697674
2014,Services,144,0.013624467681632052,0,0.0
2014,Industrials,176,0.01801261799273307,2,0.011363636363636364
2014,Transport,177,0.0153354651155522,1,0.005649717514124294
2015,Software,209,0.011434712181799046,3,0.014354066985645933
2015,Retail,111,0.01799498997320811,2,0.018018018018018018
2015,Healthcare,173,0.01361699280763918,0,0.0
2015,Energy,116,0.022478498658427964,3,0.02586206896551724
2015,Telecom,197,0.017114959113410294,1,0.005076142131979695
2015,Services,178,0.01316766812650109,2,0.011235955056179775
2015,Industrials,144,0.01808215145067372,1,0.006944444444444444
2015,Transport,196,0.015898628914804723,0,0.0
2016,Software,176,0.011864078171934453,4,0.022727272727272728
2016,Retail,118,0.01789260017537483,4,0.03389830508474576
2016,Healthcare,130,0.013031002743642928,2,0.015384615384615385
2016,Energy,134,0.0216845086117135,10,0.07462686567164178
2016,Telecom,143,0.016486395009384144,5,0.03496503496503497
2016,Services,206,0.013000153484871798,9,0.043689320388349516
2016,Industrials,151,0.018454471024888026,8,0.052980132450331126
2016,Transport,181,0.01663567499145581,7,0.03867403314917127
2017,Software,144,0.01199914720608301,1,0.006944444444444444
2017,Retail,218,0.01749141042435344,0,0.0
2017,Healthcare,208,0.012282240016119734,0,0.0
2017,Energy,154,0.02094032771818301,0,0.0
2017,Telecom,217,0.016096795852220968,0,0.0
2017,Services,179,0.013148370635344535,0,0.0
2017,Industrials,139,0.019070795641172485,0,0.0
2017,Transport,137,0.017430239976175634,0,0.0
2018,Software,125,0.011818594853651363,0,0.0
2018,Retail,114,0.01685475976046766,1,0.008771929824561403
2018,Healthcare,174,0.011488917795946338,1,0.005747126436781609
2018,Energy,166,0.020363445777871178,2,0.012048192771084338
2018,Telecom,190,0.01600767078232832,2,0.010526315789473684
2018,Services,180,0.013588919348859215,0,0.0
2018,Industrials,219,0.019833821194365005,3,0.0136986301369863
2018,Transport,117,0.0181568795287764,1,0.008547008547008548
2019,Software,111,0.011350926361102302,3,0.02702702702702703
2019,Retail,131,0.01608316132486658,4,0.030534351145038167
2019,Healthcare,186,0.010776284218114562,5,0.026881720430107527
2019,Energy,159,0.020044939764669804,9,0.05660377358490566
2019,Telecom,205,0.016233090688559694,6,0.02926829268292683
2019,Services,162,0.014252246670339527,3,0.018518518518518517
2019,Industrials,140,0.020623082727026756,6,0.04285714285714286
2019,Transport,186,0.01870087324125713,3,0.016129032258064516
2020,Software,139,0.01066997630031181,2,0.014388489208633094
2020,Retail,172,0.01529843354462076,1,0.005813953488372093
2020,Healthcare,211,0.010256848455172824,1,0.004739336492890996
2020,Energy,137,0.020035094774751332,3,0.021897810218978103
2020,Telecom,155,0.016737466724255357,3,0.01935483870967742
2020,Services,135,0.0150336278009687,2,0.014814814814814815
2020,Industrials,181,0.02131397319743758,0,0.0
2020,Transport,210,0.018976336467754002,5,0.023809523809523808
2021,Software,197,0.00988325171314484,1,0.005076142131979695
2021,Retail,217,0.014624467681632052,0,0.0
2021,Healthcare,217,0.01001261799273307,1,0.004608294930875576
2021,Energy,201,0.020335465115552197,2,0.009950248756218905
2021,Telecom,115,0.017441169003602146,1,0.008695652173913044
2021,Services,128,0.015809699841233198,1,0.0078125
2021,Industrials,201,0.021797416191623252,2,0.009950248756218905
2021,Transport,157,0.018939779621690175,2,0.012738853503184714
2022,Software,173,0.009114959113410296,1,0.005780346820809248
2022,Retail,139,0.01416766812650109,1,0.007194244604316547
2022,Healthcare,143,0.010082151450673723,2,0.013986013986013986
2022,Energy,210,0.02089862891480472,1,0.004761904761904762
2022,Telecom,185,0.018233098409700985,2,0.010810810810810811
2022,Services,195,0.01645793808025175,3,0.015384615384615385
2022,Industrials,176,0.02199708669074921,3,0.017045454545454544
2022,Transport,180,0.018596974225246983,4,0.022222222222222223
2023,Software,186,0.008486395009384144,13,0.06989247311827956
2023,Retail,176,0.014000153484871799,13,0.07386363636363637
2023,Healthcare,161,0.010454471024888026,9,0.055900621118012424
2023,Energy,178,0.021635674991455807,13,0.07303370786516854
2023,Telecom,120,0.018988226702277216,10,0.08333333333333333
2023,Services,213,0.016875999953549478,16,0.07511737089201878
2023,Industrials,137,0.021881461113359545,14,0.10218978102189781
2023,Transport,137,0.018002041712915775,11,0.08029197080291971
2024,Software,113,0.008096795852220968,0,0.0
2024,Retail,170,0.014148370635344536,0,0.0
2024,Healthcare,217,0.011070795641172488,0,0.0
2024,Energy,200,0.02243023997617563,1,0.005
2024,Telecom,155,0.019587335727698305,0,0.0
2024,Services,183,0.016997882683679542,1,0.00546448087431694
2024,Industrials,210,0.021468794195748226,0,0.0
2024,Transport,200,0.017248908847014126,1,0.005
